rootAge_hpd_min,1892
rootAge_hpd_max,1945
rootAge_mean,1923
rootAge_median,1926
clockRate_hpd_min,1.78$ \times 10^{-4}$
clockRate_hpd_max,3.05$ \times 10^{-4}$
clockRate_mean,2.40$ \times 10^{-4}$
clockRate_median,2.41$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,10
latentBranches_mean,7.3
latentBranches_median,7
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.09
latentStateRate_mean,0.06
latentStateRate_median,0.06
latentStateBias_hpd_min,0.432
latentStateBias_hpd_max,0.941
latentStateBias_mean,0.69
latentStateBias_median,0.71
